node_id,in_degree,out_degree,weighted_degree,strat,payoff,Run
31,99,96,195,0.646123971108656,141961,0
73,86,34,120,0.6441118151929611,8264,0
8,89,31,120,0.8357923761740779,8379,0
57,86,30,116,0.9063737717792032,8107,0
15,82,33,115,0.6415333464640839,8797,0
38,99,95,194,0.5368968206370963,110587,1
88,77,35,112,0.5852745211963937,7969,1
34,75,35,110,0.6590606947890846,7496,1
16,76,33,109,0.5820537417950593,8647,1
42,79,29,108,0.5562698813928528,7530,1
16,99,91,190,0.6797581892372975,110017,2
18,89,35,124,0.645419465587956,17704,2
92,86,38,124,0.7841677311526146,7991,2
42,77,46,123,0.7491196582013183,8130,2
0,82,38,120,0.6332003503738205,10696,2
52,99,92,191,0.6425602265587023,103009,3
84,89,52,141,0.7163091104239979,8106,3
87,85,50,135,0.3883200760607433,7947,3
23,85,49,134,0.7035378696216619,8605,3
11,78,56,134,0.5301980597269769,7694,3
79,99,90,189,0.7188666403859956,81915,4
41,92,38,130,0.7562511887491908,7967,4
5,85,43,128,0.6769141565700811,7665,4
52,85,40,125,0.7637798509242345,7852,4
22,82,42,124,0.6072246559283759,8221,4
37,99,92,191,0.6763904004351997,99470,5
67,95,42,137,0.7333556544338309,7647,5
3,79,53,132,0.6470994709070392,7844,5
10,85,43,128,0.6715954219051049,8273,5
82,80,48,128,0.7345339227480578,7955,5
82,99,95,194,0.6685126922325627,91338,6
79,94,32,126,0.8185922164464194,7958,6
72,85,26,111,0.831550710422534,8203,6
86,82,25,107,0.8252195279310369,8289,6
49,73,28,101,0.6966000763297906,8045,6
93,99,95,194,0.4845977751985288,124050,7
26,84,40,124,0.5284783297843605,7501,7
82,87,34,121,0.4884480914950711,7587,7
90,73,28,101,0.4735677087426494,22064,7
33,72,19,91,0.5643399510303011,7578,7
51,99,98,197,0.5788835067237941,132370,8
58,86,48,134,0.6208431422593023,7755,8
33,88,45,133,0.5428542089972186,7990,8
59,85,43,128,0.8090538621319093,7564,8
40,73,53,126,0.5835586008103889,8051,8
69,99,94,193,0.6979535626628449,76102,9
92,94,37,131,0.6419625561315898,48128,9
23,84,32,116,0.6356443917313044,8231,9
12,83,28,111,0.6825913225410667,7171,9
28,75,27,102,0.5815315649129524,7546,9
87,99,86,185,0.5080438777285652,107285,10
96,92,33,125,0.6050093291184891,7172,10
95,83,32,115,0.35939407224720304,10137,10
76,75,33,108,0.38505968002090224,7807,10
