Time,Agent,Strat,Payoff,Run,Coop_list
1,0,0.6377687406100192,3,0,"{Agent24: 45, Agent69: 1, Agent18: 50, Agent13: 68, Agent95: 14, Agent47: 15, Agent1: 65, Agent58: 38, Agent27: 10, Agent37: 3, Agent82: 13, Agent59: 30, Agent96: 49, Agent52: 56, Agent39: 1, Agent45: 8, Agent56: 16, Agent80: 40, Agent30: 17, Agent92: 1, Agent76: 1, Agent2: 10, Agent5: 4, Agent19: 1, Agent87: 2, Agent16: 1}"
1,1,0.603181761176121,6,0,"{Agent59: 2410, Agent96: 2969, Agent73: 2534, Agent13: 3574, Agent82: 395, Agent52: 3254, Agent94: 404, Agent75: 25, Agent55: 423, Agent95: 2393, Agent56: 1514, Agent99: 1661, Agent19: 420, Agent15: 425, Agent45: 878, Agent98: 86, Agent77: 131, Agent44: 12, Agent57: 227, Agent61: 30, Agent85: 20, Agent90: 28, Agent12: 22, Agent50: 43, Agent16: 61, Agent86: 15, Agent53: 58, Agent97: 3, Agent36: 54, Agent65: 9, Agent8: 3, Agent60: 2, Agent32: 3, Agent21: 1, Agent92: 1, Agent54: 4}"
1,2,0.468228632332338,6,0,"{Agent40: -1, Agent13: 1590, Agent73: 1445, Agent52: 1511, Agent59: 1071, Agent68: 5, Agent45: 250, Agent94: 356, Agent82: 158, Agent87: 1327, Agent55: 55, Agent1: 1522, Agent96: 1280, Agent18: 1098, Agent56: 1009, Agent5: 957, Agent99: 991, Agent95: 999, Agent83: 248, Agent19: 283, Agent27: 837, Agent24: 104, Agent69: 25, Agent77: 1, Agent29: 1, Agent72: 1, Agent90: 18, Agent23: 9, Agent57: 20, Agent17: 40, Agent88: 5, Agent14: 24, Agent61: 9, Agent7: 1, Agent75: 5, Agent9: 6, Agent91: 1, Agent12: 1, Agent32: 2}"
1,3,0.4035667001171853,1,0,"{Agent95: 5, Agent5: -1, Agent30: 11, Agent4: 3, Agent64: 1, Agent53: 0, Agent80: 5, Agent68: 3, Agent94: 1, Agent86: 1}"
1,4,0.5045098885474434,11,0,"{Agent94: 45, Agent69: 1, Agent73: 65, Agent92: 2, Agent1: 23, Agent23: 2, Agent2: 62, Agent82: 1, Agent87: 8, Agent68: 3, Agent52: 10, Agent19: 10, Agent83: 7, Agent13: 23, Agent89: 1, Agent96: 19, Agent59: 19, Agent46: 50, Agent90: 17, Agent56: 1, Agent37: 6, Agent18: 7, Agent55: 6, Agent3: 1, Agent22: 1}"
1,5,0.46197365498016574,16,0,"{Agent47: 10, Agent13: 1, Agent0: 2, Agent65: 1, Agent53: 0, Agent44: 1, Agent67: 2, Agent16: 2}"
1,6,0.6135194356139091,8,0,"{Agent14: 2, Agent90: 15, Agent56: 1, Agent10: 1, Agent69: 1, Agent82: 1, Agent36: 0, Agent62: 4, Agent93: 1, Agent71: 0}"
1,7,0.42132509043157096,8,0,"{Agent2: 8, Agent73: 0, Agent0: 5, Agent68: 0, Agent47: 2, Agent56: 1, Agent55: 1, Agent37: 1, Agent14: 1}"
1,8,0.4906387816609423,5,0,"{Agent7: 3, Agent95: 1, Agent74: 1}"
1,9,0.5333528157820124,5,0,"{Agent35: -8, Agent19: 7, Agent96: 19, Agent95: 70, Agent23: 2, Agent59: 2, Agent56: 4, Agent62: 3, Agent40: 2, Agent51: 21, Agent48: 1, Agent52: 56, Agent30: 3, Agent87: 51, Agent5: 14, Agent6: 3, Agent63: 52, Agent73: 13, Agent49: 1, Agent60: 1, Agent99: 1, Agent81: 1, Agent84: 2, Agent31: 1, Agent15: 38, Agent1: 57, Agent67: 23, Agent98: 22, Agent50: 3, Agent39: 13, Agent27: 13, Agent37: 1, Agent13: 13, Agent38: 4}"
