,Agent,Coop_list,Coop_list_dict
0,0,"[['95', ' 1'], ['27', ' 2'], ['55', ' 1'], ['34', ' 1']]","{'95': 1, '27': 2, '55': 1, '34': 1}"
1,1,"[['31', ' 21'], ['13', ' 1'], ['33', ' 2'], ['18', ' 2'], ['39', ' 12'], ['91', ' 1'], ['80', ' 2'], ['98', ' 1'], ['6', ' 1'], ['26', ' 1']]","{'31': 21, '13': 1, '33': 2, '18': 2, '39': 12, '91': 1, '80': 2, '98': 1, '6': 1, '26': 1}"
2,2,"[['90', ' 3'], ['74', ' 1'], ['15', ' 2'], ['9', ' 1'], ['14', ' 2'], ['4', ' 3'], ['52', ' 2'], ['62', ' 2'], ['42', ' 1'], ['41', ' 1'], ['79', ' 1'], ['44', ' 1'], ['83', ' 1']]","{'90': 3, '74': 1, '15': 2, '9': 1, '14': 2, '4': 3, '52': 2, '62': 2, '42': 1, '41': 1, '79': 1, '44': 1, '83': 1}"
3,3,"[['47', ' 2'], ['4', ' 1'], ['80', ' -1'], ['89', ' 2'], ['76', ' 2'], ['90', ' 1']]","{'47': 2, '4': 1, '80': -1, '89': 2, '76': 2, '90': 1}"
4,4,"[['97', ' 38'], ['24', ' 16'], ['18', ' 1'], ['9', ' 20'], ['15', ' 30'], ['55', ' 10'], ['2', ' 1'], ['76', ' 4'], ['47', ' -1'], ['90', ' 27'], ['14', ' 15'], ['52', ' 25'], ['58', ' 8'], ['3', ' 1'], ['56', ' 6'], ['70', ' 7'], ['26', ' 4'], ['28', ' 10'], ['50', ' 5'], ['67', ' 1'], ['75', ' 9'], ['51', ' 7'], ['99', ' 5'], ['59', ' 12'], ['85', ' 12'], ['13', ' 9'], ['42', ' 7'], ['98', ' 7'], ['43', ' 4'], ['17', ' 7'], ['82', ' 1'], ['31', ' 6'], ['83', ' 3'], ['44', ' 3'], ['95', ' 5'], ['62', ' 2'], ['89', ' 1']]","{'97': 38, '24': 16, '18': 1, '9': 20, '15': 30, '55': 10, '2': 1, '76': 4, '47': -1, '90': 27, '14': 15, '52': 25, '58': 8, '3': 1, '56': 6, '70': 7, '26': 4, '28': 10, '50': 5, '67': 1, '75': 9, '51': 7, '99': 5, '59': 12, '85': 12, '13': 9, '42': 7, '98': 7, '43': 4, '17': 7, '82': 1, '31': 6, '83': 3, '44': 3, '95': 5, '62': 2, '89': 1}"
5,5,"[['15', ' 7'], ['20', ' 2'], ['86', ' 1'], ['54', ' 2'], ['42', ' 1'], ['57', ' 1'], ['25', ' 1'], ['8', ' 1'], ['36', ' 1']]","{'15': 7, '20': 2, '86': 1, '54': 2, '42': 1, '57': 1, '25': 1, '8': 1, '36': 1}"
6,6,"[['63', ' 3'], ['62', ' 11'], ['96', ' 0'], ['14', ' 5'], ['75', ' 7'], ['51', ' 5'], ['99', ' 5'], ['28', ' 7'], ['85', ' 7'], ['9', ' 1'], ['18', ' 2'], ['70', ' 2'], ['50', ' 2'], ['33', ' 2'], ['67', ' 2'], ['74', ' 2'], ['59', ' 2'], ['31', ' 3'], ['55', ' 2'], ['61', ' 1']]","{'63': 3, '62': 11, '96': 0, '14': 5, '75': 7, '51': 5, '99': 5, '28': 7, '85': 7, '9': 1, '18': 2, '70': 2, '50': 2, '33': 2, '67': 2, '74': 2, '59': 2, '31': 3, '55': 2, '61': 1}"
7,7,"[['82', ' 2'], ['98', ' 13'], ['48', ' 3'], ['13', ' 5'], ['97', ' 1'], ['83', ' 2'], ['6', ' 1'], ['70', ' 1']]","{'82': 2, '98': 13, '48': 3, '13': 5, '97': 1, '83': 2, '6': 1, '70': 1}"
8,8,"[['78', ' 3'], ['27', ' 1'], ['61', ' 6'], ['28', ' 1'], ['5', ' 1'], ['15', ' 1'], ['98', ' 1']]","{'78': 3, '27': 1, '61': 6, '28': 1, '5': 1, '15': 1, '98': 1}"
9,9,"[['38', ' -1'], ['97', ' 43'], ['2', ' 3'], ['4', ' 21'], ['24', ' 22'], ['71', ' 1'], ['42', ' 1'], ['15', ' 8'], ['90', ' 6'], ['14', ' 6'], ['52', ' 6'], ['58', ' 3'], ['6', ' 1'], ['55', ' 1'], ['28', ' 1'], ['59', ' 1'], ['85', ' 1']]","{'38': -1, '97': 43, '2': 3, '4': 21, '24': 22, '71': 1, '42': 1, '15': 8, '90': 6, '14': 6, '52': 6, '58': 3, '6': 1, '55': 1, '28': 1, '59': 1, '85': 1}"
10,10,"[['80', ' 3']]",{'80': 3}
11,11,"[['85', ' 9'], ['70', ' 3'], ['53', ' 2']]","{'85': 9, '70': 3, '53': 2}"
12,12,"[['55', ' 25'], ['75', ' 12'], ['31', ' 15'], ['85', ' 11'], ['28', ' 9'], ['51', ' 9'], ['62', ' 2'], ['59', ' 13'], ['81', ' 1'], ['58', ' 1'], ['53', ' 2'], ['99', ' 5'], ['74', ' 1'], ['50', ' 1'], ['33', ' 1'], ['67', ' 7'], ['98', ' 5'], ['42', ' 1'], ['13', ' 1'], ['66', ' 1'], ['57', ' -1'], ['21', ' 1'], ['30', ' -1'], ['94', ' 1'], ['25', ' 7'], ['23', ' 1'], ['36', ' 2'], ['60', ' 1']]","{'55': 25, '75': 12, '31': 15, '85': 11, '28': 9, '51': 9, '62': 2, '59': 13, '81': 1, '58': 1, '53': 2, '99': 5, '74': 1, '50': 1, '33': 1, '67': 7, '98': 5, '42': 1, '13': 1, '66': 1, '57': -1, '21': 1, '30': -1, '94': 1, '25': 7, '23': 1, '36': 2, '60': 1}"
